"gene_id","biotype","source"
"ATlnc_1080","lnc_exonic_antisense","DevSeq"
"ATlnc_1082","lnc_exonic_antisense","DevSeq"
"ATlnc_1083","lnc_exonic_antisense","DevSeq"
"ATlnc_1084","lnc_exonic_antisense","DevSeq"
"ATlnc_1086","lnc_exonic_antisense","DevSeq"
"ATlnc_1088","lnc_exonic_antisense","DevSeq"
"ATlnc_1089","lnc_exonic_antisense","DevSeq"
"ATlnc_1090","lnc_exonic_antisense","DevSeq"
"ATlnc_1095","lnc_exonic_antisense","DevSeq"
"ATlnc_1096","lnc_exonic_antisense","DevSeq"
"ATlnc_1097","lnc_exonic_antisense","DevSeq"
"ATlnc_1098","lnc_exonic_antisense","DevSeq"
"ATlnc_11","lnc_exonic_antisense","DevSeq"
"ATlnc_1100","lnc_exonic_antisense","DevSeq"
"ATlnc_1104","lnc_exonic_antisense","DevSeq"
"ATlnc_1105","lnc_exonic_antisense","DevSeq"
"ATlnc_1109","lnc_exonic_antisense","DevSeq"
"ATlnc_111","lnc_exonic_antisense","DevSeq"
"ATlnc_1110","lnc_exonic_antisense","DevSeq"
"ATlnc_1111","lnc_exonic_antisense","DevSeq"
"ATlnc_1112","lnc_exonic_antisense","DevSeq"
"ATlnc_1117","lnc_exonic_antisense","DevSeq"
"ATlnc_1118","lnc_exonic_antisense","DevSeq"
"ATlnc_112","lnc_exonic_antisense","DevSeq"
"ATlnc_1121","lnc_exonic_antisense","DevSeq"
"ATlnc_1123","lnc_exonic_antisense","DevSeq"
"ATlnc_1124","lnc_exonic_antisense","DevSeq"
"ATlnc_1128","lnc_exonic_antisense","DevSeq"
"ATlnc_1129","lnc_exonic_antisense","DevSeq"
"ATlnc_113","lnc_exonic_antisense","DevSeq"
"ATlnc_1134","lnc_exonic_antisense","DevSeq"
"ATlnc_114","lnc_exonic_antisense","DevSeq"
"ATlnc_1141","lnc_exonic_antisense","DevSeq"
"ATlnc_115","lnc_exonic_antisense","DevSeq"
"ATlnc_1152","lnc_exonic_antisense","DevSeq"
"ATlnc_1154","lnc_exonic_antisense","DevSeq"
"ATlnc_1155","lnc_exonic_antisense","DevSeq"
"ATlnc_1156","lnc_exonic_antisense","DevSeq"
"ATlnc_116","lnc_exonic_antisense","DevSeq"
"ATlnc_1161","lnc_exonic_antisense","DevSeq"
"ATlnc_1164","lnc_exonic_antisense","DevSeq"
"ATlnc_1166","lnc_exonic_antisense","DevSeq"
"ATlnc_1167","lnc_exonic_antisense","DevSeq"
"ATlnc_1168","lnc_exonic_antisense","DevSeq"
"ATlnc_1170","lnc_exonic_antisense","DevSeq"
"ATlnc_1175","lnc_exonic_antisense","DevSeq"
"ATlnc_1176","lnc_exonic_antisense","DevSeq"
"ATlnc_1177","lnc_exonic_antisense","DevSeq"
"ATlnc_1180","lnc_exonic_antisense","DevSeq"
"ATlnc_1181","lnc_exonic_antisense","DevSeq"
"ATlnc_1183","lnc_exonic_antisense","DevSeq"
"ATlnc_1184","lnc_exonic_antisense","DevSeq"
"ATlnc_1185","lnc_exonic_antisense","DevSeq"
"ATlnc_1187","lnc_exonic_antisense","DevSeq"
"ATlnc_1189","lnc_exonic_antisense","DevSeq"
"ATlnc_1190","lnc_exonic_antisense","DevSeq"
"ATlnc_1192","lnc_exonic_antisense","DevSeq"
"ATlnc_1197","lnc_exonic_antisense","DevSeq"
"ATlnc_1198","lnc_exonic_antisense","DevSeq"
"ATlnc_120","lnc_exonic_antisense","DevSeq"
"ATlnc_1200","lnc_exonic_antisense","DevSeq"
"ATlnc_1201","lnc_exonic_antisense","DevSeq"
"ATlnc_1208","lnc_exonic_antisense","DevSeq"
"ATlnc_1209","lnc_exonic_antisense","DevSeq"
"ATlnc_121","lnc_exonic_antisense","DevSeq"
"ATlnc_1210","lnc_exonic_antisense","DevSeq"
"ATlnc_1211","lnc_exonic_antisense","DevSeq"
"ATlnc_1215","lnc_exonic_antisense","DevSeq"
"ATlnc_122","lnc_exonic_antisense","DevSeq"
"ATlnc_1226","lnc_exonic_antisense","DevSeq"
"ATlnc_1234","lnc_exonic_antisense","DevSeq"
"ATlnc_1235","lnc_exonic_antisense","DevSeq"
"ATlnc_1236","lnc_exonic_antisense","DevSeq"
"ATlnc_1237","lnc_exonic_antisense","DevSeq"
"ATlnc_1239","lnc_exonic_antisense","DevSeq"
"ATlnc_124","lnc_exonic_antisense","DevSeq"
"ATlnc_1240","lnc_exonic_antisense","DevSeq"
"ATlnc_1241","lnc_exonic_antisense","DevSeq"
"ATlnc_125","lnc_exonic_antisense","DevSeq"
"ATlnc_1250","lnc_exonic_antisense","DevSeq"
"ATlnc_1253","lnc_exonic_antisense","DevSeq"
"ATlnc_1254","lnc_exonic_antisense","DevSeq"
"ATlnc_1261","lnc_exonic_antisense","DevSeq"
"ATlnc_1264","lnc_exonic_antisense","DevSeq"
"ATlnc_1266","lnc_exonic_antisense","DevSeq"
"ATlnc_127","lnc_exonic_antisense","DevSeq"
"ATlnc_1270","lnc_exonic_antisense","DevSeq"
"ATlnc_1271","lnc_exonic_antisense","DevSeq"
"ATlnc_1272","lnc_exonic_antisense","DevSeq"
"ATlnc_1275","lnc_exonic_antisense","DevSeq"
"ATlnc_1276","lnc_exonic_antisense","DevSeq"
"ATlnc_1278","lnc_exonic_antisense","DevSeq"
"ATlnc_1283","lnc_exonic_antisense","DevSeq"
"ATlnc_1285","lnc_exonic_antisense","DevSeq"
"ATlnc_1287","lnc_exonic_antisense","DevSeq"
"ATlnc_129","lnc_exonic_antisense","DevSeq"
"ATlnc_1290","lnc_exonic_antisense","DevSeq"
"ATlnc_1294","lnc_exonic_antisense","DevSeq"
"ATlnc_1295","lnc_exonic_antisense","DevSeq"
"ATlnc_1298","lnc_exonic_antisense","DevSeq"
"ATlnc_1299","lnc_exonic_antisense","DevSeq"
"ATlnc_13","lnc_exonic_antisense","DevSeq"
"ATlnc_130","lnc_exonic_antisense","DevSeq"
"ATlnc_1302","lnc_exonic_antisense","DevSeq"
"ATlnc_1303","lnc_exonic_antisense","DevSeq"
"ATlnc_1304","lnc_exonic_antisense","DevSeq"
"ATlnc_1305","lnc_exonic_antisense","DevSeq"
"ATlnc_1306","lnc_exonic_antisense","DevSeq"
"ATlnc_131","lnc_exonic_antisense","DevSeq"
"ATlnc_1310","lnc_exonic_antisense","DevSeq"
"ATlnc_1311","lnc_exonic_antisense","DevSeq"
"ATlnc_1314","lnc_exonic_antisense","DevSeq"
"ATlnc_1315","lnc_exonic_antisense","DevSeq"
"ATlnc_1319","lnc_exonic_antisense","DevSeq"
"ATlnc_1320","lnc_exonic_antisense","DevSeq"
"ATlnc_133","lnc_exonic_antisense","DevSeq"
"ATlnc_1331","lnc_exonic_antisense","DevSeq"
"ATlnc_1332","lnc_exonic_antisense","DevSeq"
"ATlnc_1335","lnc_exonic_antisense","DevSeq"
"ATlnc_134","lnc_exonic_antisense","DevSeq"
"ATlnc_1340","lnc_exonic_antisense","DevSeq"
